KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,1535,684,31.1017766
MouseMove,1536,684,31.1028117
MouseMove,1538,684,31.1038234
MouseMove,1539,684,31.1048628
MouseMove,1540,684,31.106018
MouseMove,1541,684,31.1071786
MouseMove,1542,684,31.1081421
MouseMove,1543,684,31.1094521
MouseMove,1544,684,31.1107118
MouseMove,1546,684,31.1118825
MouseMove,1547,684,31.1131214
MouseMove,1548,684,31.1143279
MouseMove,1550,684,31.1157392
MouseMove,1552,684,31.1171827
MouseMove,1553,684,31.1183155
MouseMove,1555,684,31.119554
MouseMove,1556,684,31.1205878
MouseMove,1557,684,31.1217179
MouseMove,1560,684,31.1229383
MouseMove,1561,684,31.1241417
MouseMove,1562,683,31.1252752
MouseMove,1563,683,31.1265544
MouseMove,1564,683,31.1278422
MouseMove,1566,683,31.1288037
MouseMove,1567,683,31.1298845
MouseMove,1569,682,31.1310005
MouseMove,1570,682,31.1320915
MouseMove,1571,682,31.1333651
MouseMove,1572,681,31.1346709
MouseMove,1573,681,31.1356468
MouseMove,1574,681,31.1366742
MouseMove,1575,681,31.1377225
MouseMove,1576,681,31.1387146
MouseMove,1577,681,31.1396283
MouseMove,1578,680,31.1406307
MouseMove,1579,680,31.1415898
MouseMove,1580,680,31.142805
MouseMove,1580,680,31.1440629
MouseMove,1581,680,31.1451191
MouseMove,1582,680,31.1460662
MouseMove,1583,680,31.147084
MouseMove,1584,679,31.148191
MouseMove,1584,679,31.1496395
MouseMove,1585,679,31.1509396
MouseMove,1586,679,31.1520296
MouseMove,1586,679,31.1533693
